,Model,Random State,Best Parameters,f1_Score,Execution Time
0,AdaBoostClassifier(),1.0,"{'learning_rate': 0.5, 'n_estimators': 500}",0.6877383119959596,30.990973711013794
1,AdaBoostClassifier(),2.0,"{'learning_rate': 0.5, 'n_estimators': 500}",0.6877383119959596,28.464215755462646
2,AdaBoostClassifier(),3.0,"{'learning_rate': 0.5, 'n_estimators': 500}",0.6877383119959596,29.91178035736084
3,AdaBoostClassifier(),4.0,"{'learning_rate': 0.1, 'n_estimators': 1000}",0.5616086373691053,32.22287726402283
4,AdaBoostClassifier(),5.0,"{'learning_rate': 0.5, 'n_estimators': 1000}",0.6994378330315486,31.25645923614502
5,AdaBoostClassifier(),6.0,"{'learning_rate': 0.5, 'n_estimators': 500}",0.6877383119959596,30.268100023269653
6,AdaBoostClassifier(),7.0,"{'learning_rate': 0.5, 'n_estimators': 500}",0.6763070567519979,31.58258891105652
7,AdaBoostClassifier(),8.0,"{'learning_rate': 0.5, 'n_estimators': 500}",0.6877383119959596,31.66451406478882
8,AdaBoostClassifier(),9.0,"{'learning_rate': 0.5, 'n_estimators': 1000}",0.6893124388277901,31.783053159713745
9,AdaBoostClassifier(),10.0,"{'learning_rate': 0.5, 'n_estimators': 100}",0.6794279935140298,28.825053215026855
