,Model,Random State,Best Parameters,f1_Score,Execution Time
0,GradientBoostingClassifier(),1.0,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 100}",1.0,825.8959815502167
1,GradientBoostingClassifier(),2.0,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 100}",1.0,817.118283033371
2,GradientBoostingClassifier(),3.0,"{'learning_rate': 0.9, 'max_depth': 5, 'n_estimators': 100}",1.0,814.103609085083
3,GradientBoostingClassifier(),4.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",1.0,819.9874792098999
4,GradientBoostingClassifier(),5.0,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 500}",1.0,810.765939950943
5,GradientBoostingClassifier(),6.0,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 100}",1.0,801.7064509391785
6,GradientBoostingClassifier(),7.0,"{'learning_rate': 1.7000000000000002, 'max_depth': 5, 'n_estimators': 50}",1.0,801.2322499752045
7,GradientBoostingClassifier(),8.0,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 100}",1.0,803.9755685329437
8,GradientBoostingClassifier(),9.0,"{'learning_rate': 0.5, 'max_depth': 3, 'n_estimators': 1000}",1.0,815.6471216678619
9,GradientBoostingClassifier(),10.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",1.0,801.2895123958588
