,Model,Random State,Best Parameters,f1_Score,Execution Time
0,GaussianNB(),1.0,{'var_smoothing': 0.04328761281083057},0.4712783805337653,0.4783668518066406
1,GaussianNB(),2.0,{'var_smoothing': 0.02310129700083159},0.48162440826905006,0.42177915573120117
2,GaussianNB(),3.0,{'var_smoothing': 0.01519911082952933},0.5067942695698372,0.45465636253356934
3,GaussianNB(),4.0,{'var_smoothing': 0.01873817422860384},0.4798758054617204,0.39924144744873047
4,GaussianNB(),5.0,{'var_smoothing': 0.0657933224657568},0.4409086014979895,0.49860143661499023
5,GaussianNB(),6.0,{'var_smoothing': 0.01873817422860384},0.4798758054617204,0.4190192222595215
6,GaussianNB(),7.0,{'var_smoothing': 0.03511191734215131},0.47214605225389367,0.40615344047546387
7,GaussianNB(),8.0,{'var_smoothing': 0.1873817422860384},0.42560171221544274,0.4530184268951416
8,GaussianNB(),9.0,{'var_smoothing': 0.0657933224657568},0.4409086014979895,0.4061553478240967
9,GaussianNB(),10.0,{'var_smoothing': 0.02310129700083159},0.48162440826905006,0.46781349182128906
