,Model,Random State,Best Parameters,f1_Score,Execution Time
0,LinearDiscriminantAnalysis(),1.0,"{'n_components': 1, 'solver': 'lsqr'}",0.6518441482034838,0.10462093353271484
1,LinearDiscriminantAnalysis(),2.0,"{'n_components': 1, 'solver': 'lsqr'}",0.6518441482034838,0.10599064826965332
2,LinearDiscriminantAnalysis(),3.0,"{'n_components': 1, 'solver': 'lsqr'}",0.6518441482034838,0.0868387222290039
3,LinearDiscriminantAnalysis(),4.0,"{'n_components': 1, 'solver': 'lsqr'}",0.6518441482034838,0.09372878074645996
4,LinearDiscriminantAnalysis(),5.0,"{'n_components': 1, 'solver': 'lsqr'}",0.6518441482034838,0.07811474800109863
5,LinearDiscriminantAnalysis(),6.0,"{'n_components': 1, 'solver': 'lsqr'}",0.6518441482034838,0.09372735023498535
6,LinearDiscriminantAnalysis(),7.0,"{'n_components': 1, 'solver': 'lsqr'}",0.6518441482034838,0.10934829711914062
7,LinearDiscriminantAnalysis(),8.0,"{'n_components': 1, 'solver': 'svd'}",0.6518441482034838,0.09372758865356445
8,LinearDiscriminantAnalysis(),9.0,"{'n_components': 1, 'solver': 'svd'}",0.6518441482034838,0.10935020446777344
9,LinearDiscriminantAnalysis(),10.0,"{'n_components': 1, 'solver': 'lsqr'}",0.6518441482034838,0.09372901916503906
