,Model,Random State,Best Parameters,f1_Score,Execution Time
0,LogisticRegression(),1.0,"{'C': 500, 'solver': 'newton-cg'}",0.6773293691071564,1.4950041770935059
1,LogisticRegression(),2.0,"{'C': 1000, 'solver': 'sag'}",0.6688327227403484,1.325455665588379
2,LogisticRegression(),3.0,"{'C': 750, 'solver': 'liblinear'}",0.6710147473519229,1.3623590469360352
3,LogisticRegression(),4.0,"{'C': 1250, 'solver': 'newton-cg'}",0.6957616030557364,1.3414161205291748
4,LogisticRegression(),5.0,"{'C': 250, 'solver': 'sag'}",0.6783676303848593,1.3085012435913086
5,LogisticRegression(),6.0,"{'C': 1000, 'solver': 'liblinear'}",0.6749631087063452,1.307504653930664
6,LogisticRegression(),7.0,"{'C': 1000, 'solver': 'liblinear'}",0.6749631087063452,1.3214671611785889
7,LogisticRegression(),8.0,"{'C': 1250, 'solver': 'sag'}",0.6688327227403484,1.3264563083648682
8,LogisticRegression(),9.0,"{'C': 1250, 'solver': 'liblinear'}",0.6706523494341232,1.3114967346191406
9,LogisticRegression(),10.0,"{'C': 500, 'solver': 'newton-cg'}",0.6773293691071564,1.3543803691864014
