,Model,Random State,Best Parameters,f1_Score,Execution Time
0,RandomForestClassifier(),1.0,"{'criterion': 'entropy', 'max_depth': 8, 'n_estimators': 500, 'n_jobs': -1}",0.9952728718885012,51.83944773674011
1,RandomForestClassifier(),2.0,"{'criterion': 'gini', 'max_depth': 8, 'n_estimators': 200, 'n_jobs': -1}",0.9906082292619915,42.764312744140625
2,RandomForestClassifier(),3.0,"{'criterion': 'gini', 'max_depth': 8, 'n_estimators': 400, 'n_jobs': -1}",0.9812194970441722,43.04594659805298
3,RandomForestClassifier(),4.0,"{'criterion': 'gini', 'max_depth': 8, 'n_estimators': 300, 'n_jobs': -1}",0.9860010926552073,41.77190041542053
4,RandomForestClassifier(),5.0,"{'criterion': 'gini', 'max_depth': 8, 'n_estimators': 400, 'n_jobs': -1}",0.9812194970441722,40.740113496780396
5,RandomForestClassifier(),6.0,"{'criterion': 'entropy', 'max_depth': 8, 'n_estimators': 500, 'n_jobs': -1}",0.9952728718885012,41.408323764801025
6,RandomForestClassifier(),7.0,"{'criterion': 'entropy', 'max_depth': 8, 'n_estimators': 100, 'n_jobs': -1}",0.9952728718885012,39.806015491485596
7,RandomForestClassifier(),8.0,"{'criterion': 'gini', 'max_depth': 8, 'n_estimators': 200, 'n_jobs': -1}",0.9857953112226354,39.41264581680298
8,RandomForestClassifier(),9.0,"{'criterion': 'entropy', 'max_depth': 8, 'n_estimators': 300, 'n_jobs': -1}",0.9952728718885012,40.129544258117676
9,RandomForestClassifier(),10.0,"{'criterion': 'entropy', 'max_depth': 8, 'n_estimators': 300, 'n_jobs': -1}",0.9952728718885012,40.62841081619263
