,Model,Random State,Best Parameters,f1_Score,Execution Time
0,SVC(),1.0,"{'C': 1000, 'gamma': 1, 'kernel': 'poly'}",0.934796598817092,1.0701470375061035
1,SVC(),2.0,"{'C': 1000, 'gamma': 1, 'kernel': 'poly'}",0.934796598817092,1.2356986999511719
2,SVC(),3.0,"{'C': 1000, 'gamma': 1, 'kernel': 'poly'}",0.934796598817092,1.4750537872314453
3,SVC(),4.0,"{'C': 1000, 'gamma': 1, 'kernel': 'rbf'}",0.9301286939170315,1.301525354385376
4,SVC(),5.0,"{'C': 1000, 'gamma': 1, 'kernel': 'rbf'}",0.9301286939170315,1.1070423126220703
5,SVC(),6.0,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",0.8577936142416993,1.1220002174377441
6,SVC(),7.0,"{'C': 100, 'gamma': 1, 'kernel': 'poly'}",0.8733946849767945,1.530909776687622
7,SVC(),8.0,"{'C': 1000, 'gamma': 1, 'kernel': 'rbf'}",0.9301286939170315,1.4461376667022705
8,SVC(),9.0,"{'C': 1000, 'gamma': 1, 'kernel': 'rbf'}",0.9301286939170315,1.079115390777588
9,SVC(),10.0,"{'C': 100, 'gamma': 1, 'kernel': 'poly'}",0.8733946849767945,1.0751259326934814
