,Model,Random State,Best Parameters,f1_Score,Execution Time
0,GradientBoostingClassifier(),1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10}",0.9933326665999933,199.191410779953
1,GradientBoostingClassifier(),2.0,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 10}",0.9733226623982927,196.28404021263123
2,GradientBoostingClassifier(),3.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10}",0.9933326665999933,196.78336334228516
3,GradientBoostingClassifier(),4.0,"{'learning_rate': 0.9, 'max_depth': 3, 'n_estimators': 1000}",1.0,199.28302884101868
4,GradientBoostingClassifier(),5.0,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 10}",1.0,196.7547836303711
5,GradientBoostingClassifier(),6.0,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 50}",1.0,197.75410842895508
6,GradientBoostingClassifier(),7.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10}",1.0,199.0047676563263
7,GradientBoostingClassifier(),8.0,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 50}",1.0,192.18858742713928
8,GradientBoostingClassifier(),9.0,"{'learning_rate': 0.5, 'max_depth': 5, 'n_estimators': 50}",1.0,193.07865071296692
9,GradientBoostingClassifier(),10.0,"{'learning_rate': 0.1, 'max_depth': 1, 'n_estimators': 50}",0.9666633329999667,189.24549865722656
