,Model,Random State,Best Parameters,f1_Score,Execution Time
0,KNeighborsClassifier(),1.0,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.9733226623982925,7.239605903625488
1,KNeighborsClassifier(),2.0,"{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}",0.9666366396423448,1.281571626663208
2,KNeighborsClassifier(),3.0,"{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}",0.9666366396423448,1.8794736862182617
3,KNeighborsClassifier(),4.0,"{'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'uniform'}",0.9666366396423448,1.1791720390319824
4,KNeighborsClassifier(),5.0,"{'metric': 'euclidean', 'n_neighbors': 14, 'weights': 'uniform'}",0.9666366396423448,1.2847516536712646
5,KNeighborsClassifier(),6.0,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.9599839935974391,1.3068292140960693
6,KNeighborsClassifier(),7.0,"{'metric': 'euclidean', 'n_neighbors': 2, 'weights': 'uniform'}",0.9732905982905982,1.4124503135681152
7,KNeighborsClassifier(),8.0,"{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}",0.9666366396423448,1.440558671951294
8,KNeighborsClassifier(),9.0,"{'metric': 'manhattan', 'n_neighbors': 18, 'weights': 'uniform'}",0.9533286661999534,1.0984160900115967
9,KNeighborsClassifier(),10.0,"{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}",0.9666366396423448,0.9182672500610352
