,Model,Random State,Best Parameters,Best Score,Execution Time,Parameters,f1 score
0,LinearDiscriminantAnalysis(),1.0,"{'n_components': 1, 'solver': 'lsqr'}",0.9733333333333334,0.12267136573791504,"[{'n_components': 1, 'solver': 'lsqr'}, {'n_components': 1, 'solver': 'eigen'}, {'n_components': 1, 'solver': 'svd'}, {'n_components': 2, 'solver': 'lsqr'}, {'n_components': 2, 'solver': 'eigen'}, {'n_components': 2, 'solver': 'svd'}]",[0.96951199 0.96951199 0.96951199 0.96951199 0.96951199 0.96951199]
1,LinearDiscriminantAnalysis(),2.0,"{'n_components': 1, 'solver': 'lsqr'}",0.9800000000000001,0.06382989883422852,"[{'n_components': 1, 'solver': 'lsqr'}, {'n_components': 1, 'solver': 'eigen'}, {'n_components': 1, 'solver': 'svd'}, {'n_components': 2, 'solver': 'lsqr'}, {'n_components': 2, 'solver': 'eigen'}, {'n_components': 2, 'solver': 'svd'}]",[0.98171502 0.98171502 0.98171502 0.98171502 0.98171502 0.98171502]
2,LinearDiscriminantAnalysis(),3.0,"{'n_components': 1, 'solver': 'lsqr'}",0.9733333333333334,0.060836076736450195,"[{'n_components': 1, 'solver': 'lsqr'}, {'n_components': 1, 'solver': 'eigen'}, {'n_components': 1, 'solver': 'svd'}, {'n_components': 2, 'solver': 'lsqr'}, {'n_components': 2, 'solver': 'eigen'}, {'n_components': 2, 'solver': 'svd'}]",[0.9719974 0.9719974 0.9719974 0.9719974 0.9719974 0.9719974]
3,LinearDiscriminantAnalysis(),4.0,"{'n_components': 1, 'solver': 'lsqr'}",0.9800000000000001,0.0608363151550293,"[{'n_components': 1, 'solver': 'lsqr'}, {'n_components': 1, 'solver': 'eigen'}, {'n_components': 1, 'solver': 'svd'}, {'n_components': 2, 'solver': 'lsqr'}, {'n_components': 2, 'solver': 'eigen'}, {'n_components': 2, 'solver': 'svd'}]",[0.97267102 0.97267102 0.97267102 0.97267102 0.97267102 0.97267102]
4,LinearDiscriminantAnalysis(),5.0,"{'n_components': 1, 'solver': 'lsqr'}",0.9800000000000001,0.07081198692321777,"[{'n_components': 1, 'solver': 'lsqr'}, {'n_components': 1, 'solver': 'eigen'}, {'n_components': 1, 'solver': 'svd'}, {'n_components': 2, 'solver': 'lsqr'}, {'n_components': 2, 'solver': 'eigen'}, {'n_components': 2, 'solver': 'svd'}]",[0.98086124 0.98086124 0.98086124 0.98086124 0.98086124 0.98086124]
5,LinearDiscriminantAnalysis(),6.0,"{'n_components': 1, 'solver': 'lsqr'}",0.9800000000000001,0.06283402442932129,"[{'n_components': 1, 'solver': 'lsqr'}, {'n_components': 1, 'solver': 'eigen'}, {'n_components': 1, 'solver': 'svd'}, {'n_components': 2, 'solver': 'lsqr'}, {'n_components': 2, 'solver': 'eigen'}, {'n_components': 2, 'solver': 'svd'}]",[0.97863843 0.97863843 0.97863843 0.97863843 0.97863843 0.97863843]
6,LinearDiscriminantAnalysis(),7.0,"{'n_components': 1, 'solver': 'lsqr'}",0.9800000000000001,0.06482553482055664,"[{'n_components': 1, 'solver': 'lsqr'}, {'n_components': 1, 'solver': 'eigen'}, {'n_components': 1, 'solver': 'svd'}, {'n_components': 2, 'solver': 'lsqr'}, {'n_components': 2, 'solver': 'eigen'}, {'n_components': 2, 'solver': 'svd'}]",[0.98051849 0.98051849 0.98051849 0.98051849 0.98051849 0.98051849]
7,LinearDiscriminantAnalysis(),8.0,"{'n_components': 1, 'solver': 'lsqr'}",0.9800000000000001,0.0797879695892334,"[{'n_components': 1, 'solver': 'lsqr'}, {'n_components': 1, 'solver': 'eigen'}, {'n_components': 1, 'solver': 'svd'}, {'n_components': 2, 'solver': 'lsqr'}, {'n_components': 2, 'solver': 'eigen'}, {'n_components': 2, 'solver': 'svd'}]",[0.98206877 0.98206877 0.98206877 0.98206877 0.98206877 0.98206877]
8,LinearDiscriminantAnalysis(),9.0,"{'n_components': 1, 'solver': 'lsqr'}",0.9800000000000001,0.08976173400878906,"[{'n_components': 1, 'solver': 'lsqr'}, {'n_components': 1, 'solver': 'eigen'}, {'n_components': 1, 'solver': 'svd'}, {'n_components': 2, 'solver': 'lsqr'}, {'n_components': 2, 'solver': 'eigen'}, {'n_components': 2, 'solver': 'svd'}]",[0.98045261 0.98045261 0.98045261 0.98045261 0.98045261 0.98045261]
9,LinearDiscriminantAnalysis(),10.0,"{'n_components': 1, 'solver': 'lsqr'}",0.9800000000000001,0.07579636573791504,"[{'n_components': 1, 'solver': 'lsqr'}, {'n_components': 1, 'solver': 'eigen'}, {'n_components': 1, 'solver': 'svd'}, {'n_components': 2, 'solver': 'lsqr'}, {'n_components': 2, 'solver': 'eigen'}, {'n_components': 2, 'solver': 'svd'}]",[0.98003796 0.98003796 0.98003796 0.98003796 0.98003796 0.98003796]
